time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-26 00:00:00+00:00,0,0,1,1
2026-05-27 00:00:00+00:00,1,1,26,2
2026-05-28 00:00:00+00:00,0,0,0,0
2026-05-29 00:00:00+00:00,4,2,0,0
2026-05-30 00:00:00+00:00,3,2,0,0
2026-05-31 00:00:00+00:00,3,3,0,0
2026-06-01 00:00:00+00:00,2,2,6,2
2026-06-02 00:00:00+00:00,0,0,7,3
2026-06-03 00:00:00+00:00,3,3,1,1
2026-06-04 00:00:00+00:00,40,20,3,2
2026-06-05 00:00:00+00:00,133,37,88,5
2026-06-06 00:00:00+00:00,26,4,0,0
2026-06-07 00:00:00+00:00,21,3,0,0
2026-06-08 00:00:00+00:00,35,6,12,3
