time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-06 00:00:00+00:00,0,0,12,2
2023-12-09 00:00:00+00:00,1,1,0,0
2023-12-11 00:00:00+00:00,0,0,30,1
2023-12-12 00:00:00+00:00,0,0,1,1
2023-12-14 00:00:00+00:00,0,0,12,2
2023-12-15 00:00:00+00:00,1,1,13,2
2023-12-18 00:00:00+00:00,1,1,0,0
2023-12-19 00:00:00+00:00,0,0,6,1
2023-12-22 00:00:00+00:00,0,0,2,2
2023-12-26 00:00:00+00:00,1,1,3,1
2023-12-27 00:00:00+00:00,1,1,1,1
2023-12-29 00:00:00+00:00,2,1,0,0
2024-01-02 00:00:00+00:00,0,0,2,1
2024-01-04 00:00:00+00:00,1,1,0,0
2024-01-05 00:00:00+00:00,0,0,38,2
2024-01-06 00:00:00+00:00,0,0,39,1
2024-01-08 00:00:00+00:00,0,0,12,2
2024-01-10 00:00:00+00:00,0,0,16,2
2024-01-11 00:00:00+00:00,1,1,44,3
2024-01-12 00:00:00+00:00,0,0,2,1
2024-01-15 00:00:00+00:00,0,0,3,2
2024-01-17 00:00:00+00:00,1,1,2,1
2024-01-18 00:00:00+00:00,0,0,3,1
2024-01-22 00:00:00+00:00,0,0,2,1
2024-01-23 00:00:00+00:00,0,0,14,4
2024-01-24 00:00:00+00:00,0,0,8,1
2024-01-25 00:00:00+00:00,0,0,17,3
2024-01-26 00:00:00+00:00,0,0,45,3
2024-01-29 00:00:00+00:00,1,1,22,5
2024-01-30 00:00:00+00:00,0,0,63,3
2024-01-31 00:00:00+00:00,0,0,113,3
2024-02-01 00:00:00+00:00,0,0,42,8
2024-02-02 00:00:00+00:00,0,0,1,1
2024-02-03 00:00:00+00:00,0,0,1,1
2024-02-05 00:00:00+00:00,4,4,53,8
2024-02-06 00:00:00+00:00,1,1,30,3
2024-02-07 00:00:00+00:00,5,4,24,8
2024-02-08 00:00:00+00:00,0,0,106,7
2024-02-09 00:00:00+00:00,1,1,3,2
2024-02-12 00:00:00+00:00,1,1,19,2
2024-02-13 00:00:00+00:00,0,0,10,2
2024-02-14 00:00:00+00:00,0,0,14,3
2024-02-15 00:00:00+00:00,0,0,22,4
2024-02-16 00:00:00+00:00,0,0,11,1
2024-02-17 00:00:00+00:00,1,1,0,0
2024-02-19 00:00:00+00:00,0,0,5,2
2024-02-20 00:00:00+00:00,0,0,2,2
2024-02-21 00:00:00+00:00,1,1,12,3
2024-02-22 00:00:00+00:00,1,1,4,2
2024-02-23 00:00:00+00:00,0,0,8,3
2024-02-26 00:00:00+00:00,0,0,30,2
2024-02-27 00:00:00+00:00,0,0,2,2
2024-02-28 00:00:00+00:00,0,0,36,5
2024-02-29 00:00:00+00:00,0,0,12,1
2024-03-01 00:00:00+00:00,0,0,5,3
2024-03-02 00:00:00+00:00,2,2,0,0
2024-03-03 00:00:00+00:00,1,1,0,0
2024-03-04 00:00:00+00:00,0,0,9,1
2024-03-07 00:00:00+00:00,0,0,12,5
2024-03-09 00:00:00+00:00,0,0,1,1
2024-03-12 00:00:00+00:00,1,1,2,1
2024-03-14 00:00:00+00:00,0,0,3,1
2024-03-16 00:00:00+00:00,1,1,0,0
2024-03-20 00:00:00+00:00,0,0,25,1
2024-03-25 00:00:00+00:00,0,0,3,1
2024-03-26 00:00:00+00:00,0,0,13,2
2024-03-28 00:00:00+00:00,2,2,0,0
2024-03-29 00:00:00+00:00,0,0,1,1
2024-03-30 00:00:00+00:00,0,0,1,1
2024-04-01 00:00:00+00:00,0,0,2,1
2024-04-08 00:00:00+00:00,1,1,0,0
2024-04-10 00:00:00+00:00,3,3,47,6
2024-04-11 00:00:00+00:00,1,1,4,2
2024-04-12 00:00:00+00:00,0,0,75,1
2024-04-14 00:00:00+00:00,0,0,2,1
2024-04-15 00:00:00+00:00,0,0,26,1
2024-04-17 00:00:00+00:00,0,0,1,1
2024-04-19 00:00:00+00:00,0,0,1,1
2024-04-20 00:00:00+00:00,0,0,2,1
2024-04-22 00:00:00+00:00,0,0,2,1
2024-04-28 00:00:00+00:00,0,0,2,1
2024-04-30 00:00:00+00:00,1,1,3,1
2024-05-01 00:00:00+00:00,0,0,1,1
2024-05-02 00:00:00+00:00,0,0,3,2
2024-05-05 00:00:00+00:00,0,0,2,1
2024-05-06 00:00:00+00:00,1,1,0,0
2024-05-08 00:00:00+00:00,0,0,1,1
2024-05-09 00:00:00+00:00,1,1,0,0
2024-05-11 00:00:00+00:00,0,0,1,1
2024-05-12 00:00:00+00:00,0,0,4,3
2024-05-14 00:00:00+00:00,0,0,1,1
2024-05-15 00:00:00+00:00,0,0,2,2
2024-05-17 00:00:00+00:00,0,0,5,3
2024-05-19 00:00:00+00:00,0,0,2,1
2024-05-21 00:00:00+00:00,0,0,1,1
2024-05-22 00:00:00+00:00,0,0,6,1
2024-05-23 00:00:00+00:00,0,0,6,2
2024-05-27 00:00:00+00:00,0,0,1,1
2024-06-04 00:00:00+00:00,1,1,6,2
2024-06-05 00:00:00+00:00,7,1,35,1
2024-06-06 00:00:00+00:00,0,0,2,1
2024-06-08 00:00:00+00:00,1,1,0,0
2024-06-10 00:00:00+00:00,0,0,11,1
2024-06-13 00:00:00+00:00,46,7,18,1
2024-06-14 00:00:00+00:00,12,1,0,0
2024-06-15 00:00:00+00:00,12,1,0,0
2024-06-16 00:00:00+00:00,12,1,0,0
2024-06-17 00:00:00+00:00,12,1,0,0
2024-06-18 00:00:00+00:00,13,2,10,2
2024-06-19 00:00:00+00:00,12,1,0,0
2024-06-20 00:00:00+00:00,12,1,0,0
2024-06-21 00:00:00+00:00,12,1,2,2
2024-06-22 00:00:00+00:00,12,1,0,0
2024-06-23 00:00:00+00:00,12,1,0,0
2024-06-24 00:00:00+00:00,13,2,0,0
2024-06-25 00:00:00+00:00,12,1,0,0
2024-06-26 00:00:00+00:00,12,1,0,0
2024-06-27 00:00:00+00:00,12,1,1,1
2024-06-28 00:00:00+00:00,12,1,1,1
2024-06-29 00:00:00+00:00,12,1,0,0
2024-06-30 00:00:00+00:00,12,1,0,0
2024-07-01 00:00:00+00:00,13,2,0,0
2024-07-02 00:00:00+00:00,12,1,0,0
2024-07-03 00:00:00+00:00,12,1,2,2
2024-07-04 00:00:00+00:00,12,1,1,1
2024-07-05 00:00:00+00:00,12,1,8,1
2024-07-06 00:00:00+00:00,12,1,0,0
2024-07-07 00:00:00+00:00,12,1,0,0
2024-07-08 00:00:00+00:00,12,1,0,0
2024-07-09 00:00:00+00:00,12,1,0,0
2024-07-10 00:00:00+00:00,12,1,0,0
2024-07-11 00:00:00+00:00,12,1,0,0
2024-07-12 00:00:00+00:00,12,1,5,1
2024-07-13 00:00:00+00:00,12,1,0,0
2024-07-14 00:00:00+00:00,12,1,0,0
2024-07-15 00:00:00+00:00,12,1,0,0
2024-07-16 00:00:00+00:00,12,1,2,2
2024-07-17 00:00:00+00:00,12,1,0,0
2024-07-18 00:00:00+00:00,12,1,17,1
2024-07-19 00:00:00+00:00,12,1,0,0
2024-07-20 00:00:00+00:00,12,1,0,0
2024-07-21 00:00:00+00:00,12,1,1,1
2024-07-22 00:00:00+00:00,12,1,8,1
2024-07-23 00:00:00+00:00,12,1,1,1
2024-07-24 00:00:00+00:00,12,1,44,4
2024-07-25 00:00:00+00:00,12,1,110,2
2024-07-26 00:00:00+00:00,12,1,110,5
2024-07-27 00:00:00+00:00,12,1,0,0
2024-07-28 00:00:00+00:00,12,1,0,0
2024-07-29 00:00:00+00:00,12,1,2,2
2024-07-30 00:00:00+00:00,12,1,8,1
2024-07-31 00:00:00+00:00,12,1,4,2
2024-08-01 00:00:00+00:00,14,3,1,1
2024-08-02 00:00:00+00:00,15,2,1,1
2024-08-03 00:00:00+00:00,12,1,0,0
2024-08-04 00:00:00+00:00,13,2,0,0
2024-08-05 00:00:00+00:00,13,2,0,0
2024-08-06 00:00:00+00:00,13,2,11,1
2024-08-07 00:00:00+00:00,13,1,3,1
2024-08-08 00:00:00+00:00,13,2,5,1
2024-08-09 00:00:00+00:00,13,2,8,1
2024-08-10 00:00:00+00:00,14,2,0,0
2024-08-11 00:00:00+00:00,13,2,0,0
2024-08-12 00:00:00+00:00,13,2,2,1
2024-08-13 00:00:00+00:00,13,2,28,4
2024-08-14 00:00:00+00:00,1,1,0,0
2024-08-15 00:00:00+00:00,1,1,0,0
2024-08-16 00:00:00+00:00,1,1,0,0
2024-08-17 00:00:00+00:00,2,2,0,0
