time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-15 00:00:00+00:00,0,0,1,1
2024-11-16 00:00:00+00:00,1,1,0,0
2024-11-17 00:00:00+00:00,1,1,0,0
2024-11-19 00:00:00+00:00,0,0,1,1
2024-11-21 00:00:00+00:00,1,1,2,1
2024-11-23 00:00:00+00:00,0,0,6,1
2024-11-27 00:00:00+00:00,2,2,0,0
2024-11-28 00:00:00+00:00,5,5,8,2
2024-12-02 00:00:00+00:00,1,1,0,0
2024-12-04 00:00:00+00:00,1,1,12,1
2024-12-05 00:00:00+00:00,0,0,2,2
2024-12-06 00:00:00+00:00,1,1,2,2
2024-12-10 00:00:00+00:00,0,0,1,1
2024-12-11 00:00:00+00:00,1,1,0,0
2024-12-18 00:00:00+00:00,1,1,1,1
2024-12-23 00:00:00+00:00,0,0,5,1
2024-12-25 00:00:00+00:00,1,1,0,0
2025-01-01 00:00:00+00:00,1,1,0,0
2025-01-02 00:00:00+00:00,1,1,0,0
2025-01-05 00:00:00+00:00,0,0,3,1
2025-01-08 00:00:00+00:00,1,1,0,0
2025-01-15 00:00:00+00:00,2,2,0,0
2025-01-21 00:00:00+00:00,0,0,7,1
2025-01-22 00:00:00+00:00,1,1,0,0
2025-01-28 00:00:00+00:00,0,0,1,1
2025-01-29 00:00:00+00:00,1,1,0,0
2025-01-30 00:00:00+00:00,1,1,4,2
2025-01-31 00:00:00+00:00,1,1,2,1
2025-02-02 00:00:00+00:00,1,1,0,0
2025-02-05 00:00:00+00:00,1,1,0,0
2025-02-07 00:00:00+00:00,0,0,1,1
2025-02-10 00:00:00+00:00,2,2,0,0
2025-02-11 00:00:00+00:00,0,0,1,1
2025-02-12 00:00:00+00:00,1,1,0,0
2025-02-15 00:00:00+00:00,1,1,0,0
2025-02-17 00:00:00+00:00,1,1,0,0
2025-02-19 00:00:00+00:00,1,1,3,2
2025-02-26 00:00:00+00:00,1,1,0,0
2025-03-01 00:00:00+00:00,1,1,0,0
2025-03-03 00:00:00+00:00,3,3,0,0
2025-03-05 00:00:00+00:00,1,1,0,0
2025-03-06 00:00:00+00:00,1,1,0,0
2025-03-08 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,3,3,0,0
2025-03-11 00:00:00+00:00,1,1,0,0
2025-03-12 00:00:00+00:00,1,1,0,0
2025-03-13 00:00:00+00:00,1,1,5,1
2025-03-14 00:00:00+00:00,0,0,7,1
2025-03-16 00:00:00+00:00,0,0,2,2
2025-03-17 00:00:00+00:00,0,0,1,1
2025-03-19 00:00:00+00:00,3,3,1,1
2025-03-20 00:00:00+00:00,0,0,2,1
2025-03-25 00:00:00+00:00,0,0,12,1
2025-03-26 00:00:00+00:00,1,1,0,0
2025-03-28 00:00:00+00:00,1,1,0,0
2025-03-31 00:00:00+00:00,0,0,8,1
2025-04-02 00:00:00+00:00,1,1,0,0
2025-04-07 00:00:00+00:00,1,1,1,1
2025-04-09 00:00:00+00:00,1,1,0,0
2025-04-13 00:00:00+00:00,1,1,0,0
2025-04-14 00:00:00+00:00,0,0,1,1
2025-04-16 00:00:00+00:00,1,1,0,0
2025-04-23 00:00:00+00:00,2,2,0,0
2025-04-24 00:00:00+00:00,0,0,4,1
2025-04-25 00:00:00+00:00,0,0,2,1
2025-04-30 00:00:00+00:00,1,1,0,0
2025-05-07 00:00:00+00:00,1,1,1,1
2025-05-08 00:00:00+00:00,1,1,1,1
2025-05-13 00:00:00+00:00,0,0,1,1
2025-05-14 00:00:00+00:00,1,1,0,0
2025-05-18 00:00:00+00:00,1,1,0,0
2025-05-20 00:00:00+00:00,0,0,1,1
2025-05-21 00:00:00+00:00,1,1,1,1
2025-05-23 00:00:00+00:00,0,0,5,2
2025-06-03 00:00:00+00:00,1,1,0,0
2025-06-06 00:00:00+00:00,0,0,8,1
2025-06-08 00:00:00+00:00,1,1,0,0
2025-06-10 00:00:00+00:00,0,0,1,1
2025-06-12 00:00:00+00:00,0,0,1,1
2025-06-13 00:00:00+00:00,1,1,0,0
2025-06-16 00:00:00+00:00,0,0,1,1
2025-06-17 00:00:00+00:00,0,0,1,1
2025-06-18 00:00:00+00:00,1,1,0,0
2025-06-24 00:00:00+00:00,0,0,1,1
2025-06-25 00:00:00+00:00,3,3,0,0
2025-06-27 00:00:00+00:00,0,0,1,1
2025-06-28 00:00:00+00:00,1,1,0,0
2025-07-01 00:00:00+00:00,2,2,0,0
2025-07-02 00:00:00+00:00,1,1,0,0
2025-07-03 00:00:00+00:00,1,1,0,0
2025-07-04 00:00:00+00:00,5,5,1,1
2025-07-05 00:00:00+00:00,1,1,0,0
2025-07-09 00:00:00+00:00,1,1,0,0
2025-07-10 00:00:00+00:00,1,1,0,0
2025-07-11 00:00:00+00:00,1,1,0,0
2025-07-15 00:00:00+00:00,1,1,0,0
2025-07-16 00:00:00+00:00,1,1,0,0
2025-07-18 00:00:00+00:00,1,1,0,0
2025-07-23 00:00:00+00:00,1,1,0,0
2025-07-26 00:00:00+00:00,2,2,0,0
2025-07-30 00:00:00+00:00,1,1,1,1
2025-07-31 00:00:00+00:00,0,0,4,1
2025-08-05 00:00:00+00:00,0,0,4,2
2025-08-06 00:00:00+00:00,1,1,0,0
2025-08-11 00:00:00+00:00,0,0,2,1
2025-08-12 00:00:00+00:00,1,1,0,0
