time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-18 00:00:00+00:00,0,0,1,1
2024-11-19 00:00:00+00:00,1,1,0,0
2024-11-24 00:00:00+00:00,1,1,0,0
2024-12-01 00:00:00+00:00,1,1,0,0
2024-12-08 00:00:00+00:00,1,1,0,0
2024-12-13 00:00:00+00:00,1,1,0,0
2024-12-15 00:00:00+00:00,1,1,0,0
2024-12-20 00:00:00+00:00,0,0,1,1
2024-12-22 00:00:00+00:00,1,1,0,0
2024-12-29 00:00:00+00:00,1,1,0,0
2025-01-05 00:00:00+00:00,1,1,0,0
2025-01-08 00:00:00+00:00,0,0,1,1
2025-01-12 00:00:00+00:00,1,1,0,0
2025-01-15 00:00:00+00:00,1,1,0,0
2025-01-16 00:00:00+00:00,0,0,3,1
2025-01-19 00:00:00+00:00,1,1,0,0
2025-01-23 00:00:00+00:00,1,1,0,0
2025-01-25 00:00:00+00:00,1,1,0,0
2025-01-26 00:00:00+00:00,1,1,0,0
2025-01-27 00:00:00+00:00,1,1,0,0
2025-02-02 00:00:00+00:00,1,1,0,0
2025-02-07 00:00:00+00:00,1,1,0,0
2025-02-14 00:00:00+00:00,0,0,3,1
2025-02-21 00:00:00+00:00,0,0,1,1
