time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-15 00:00:00+00:00,0,0,2,1
2024-11-16 00:00:00+00:00,0,0,3,1
2024-11-17 00:00:00+00:00,0,0,2,1
2024-11-20 00:00:00+00:00,1,1,0,0
2024-11-25 00:00:00+00:00,1,1,1,1
2024-12-02 00:00:00+00:00,1,1,1,1
2024-12-03 00:00:00+00:00,0,0,2,1
2024-12-09 00:00:00+00:00,1,1,0,0
2024-12-11 00:00:00+00:00,0,0,1,1
2024-12-12 00:00:00+00:00,0,0,2,1
2024-12-16 00:00:00+00:00,1,1,1,1
2024-12-18 00:00:00+00:00,0,0,1,1
2024-12-23 00:00:00+00:00,1,1,0,0
2024-12-30 00:00:00+00:00,1,1,0,0
2025-01-06 00:00:00+00:00,1,1,0,0
2025-01-07 00:00:00+00:00,0,0,1,1
2025-01-12 00:00:00+00:00,1,1,0,0
2025-01-13 00:00:00+00:00,2,2,0,0
2025-01-14 00:00:00+00:00,0,0,2,2
2025-01-15 00:00:00+00:00,0,0,2,2
2025-01-17 00:00:00+00:00,0,0,3,1
2025-01-20 00:00:00+00:00,1,1,1,1
2025-01-27 00:00:00+00:00,1,1,0,0
2025-01-31 00:00:00+00:00,0,0,1,1
2025-02-03 00:00:00+00:00,1,1,0,0
