url_path,views_total,views_unique
/cicsdev/cics-java-liberty-tsq,48,3
/cicsdev/cics-java-liberty-tsq/pull/3,36,2
/cicsdev/cics-java-liberty-tsq/pulls,16,1
/cicsdev/cics-java-liberty-tsq/pull/1,13,2
/cicsdev/cics-java-liberty-tsq/tree/cicsts/v5.5,10,1
/cicsdev/cics-java-liberty-tsq/pull/2,6,1
/cicsdev/cics-java-liberty-tsq/tree/cicsts/v6.1,6,1
/cicsdev/cics-java-liberty-tsq/blob/main/MAINTAINERS.md,5,4
/cicsdev/cics-java-liberty-tsq/actions/workflows/java.yaml,4,1
/cicsdev/cics-java-liberty-tsq/branches,4,1
