time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-10 00:00:00+00:00,9,1,0,0
2025-06-11 00:00:00+00:00,11,3,4,1
2025-06-12 00:00:00+00:00,11,2,0,0
2025-06-13 00:00:00+00:00,11,2,0,0
2025-06-14 00:00:00+00:00,9,1,0,0
2025-06-15 00:00:00+00:00,9,1,0,0
2025-06-16 00:00:00+00:00,11,2,4,1
2025-06-17 00:00:00+00:00,57,2,59,2
2025-06-18 00:00:00+00:00,85,2,150,2
2025-06-19 00:00:00+00:00,0,0,1,1
2025-06-23 00:00:00+00:00,6,6,12,2
2025-06-24 00:00:00+00:00,0,0,7,2
2025-06-25 00:00:00+00:00,0,0,1,1
2025-06-26 00:00:00+00:00,0,0,4,3
2025-06-28 00:00:00+00:00,1,1,0,0
2025-07-01 00:00:00+00:00,1,1,0,0
2025-07-03 00:00:00+00:00,1,1,0,0
2025-07-04 00:00:00+00:00,2,2,0,0
2025-07-05 00:00:00+00:00,1,1,0,0
2025-07-08 00:00:00+00:00,0,0,3,2
2025-07-09 00:00:00+00:00,0,0,8,2
2025-07-10 00:00:00+00:00,1,1,0,0
2025-07-11 00:00:00+00:00,1,1,1,1
2025-07-15 00:00:00+00:00,1,1,2,2
2025-07-24 00:00:00+00:00,1,1,0,0
2025-07-26 00:00:00+00:00,0,0,1,1
2025-07-30 00:00:00+00:00,1,1,0,0
2025-07-31 00:00:00+00:00,0,0,2,1
2025-08-06 00:00:00+00:00,0,0,3,1
2025-08-12 00:00:00+00:00,0,0,3,1
2025-08-13 00:00:00+00:00,0,0,7,1
2025-08-16 00:00:00+00:00,1,1,0,0
2025-08-19 00:00:00+00:00,0,0,1,1
2025-08-21 00:00:00+00:00,1,1,0,0
2025-08-22 00:00:00+00:00,0,0,1,1
2025-08-26 00:00:00+00:00,0,0,1,1
2025-08-27 00:00:00+00:00,0,0,3,2
2025-09-01 00:00:00+00:00,1,1,0,0
2025-09-03 00:00:00+00:00,0,0,1,1
