time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-06 00:00:00+00:00,1,1,0,0
2023-12-13 00:00:00+00:00,1,1,0,0
2023-12-19 00:00:00+00:00,0,0,6,1
2023-12-20 00:00:00+00:00,0,0,1,1
2023-12-21 00:00:00+00:00,0,0,9,1
2023-12-23 00:00:00+00:00,1,1,0,0
2024-01-01 00:00:00+00:00,2,1,0,0
2024-01-02 00:00:00+00:00,0,0,12,1
2024-01-03 00:00:00+00:00,0,0,1,1
2024-01-04 00:00:00+00:00,0,0,1,1
2024-01-07 00:00:00+00:00,0,0,2,1
2024-01-08 00:00:00+00:00,0,0,1,1
2024-01-10 00:00:00+00:00,0,0,2,1
2024-01-13 00:00:00+00:00,1,1,0,0
2024-01-15 00:00:00+00:00,0,0,2,1
2024-01-17 00:00:00+00:00,0,0,2,1
2024-01-19 00:00:00+00:00,1,1,0,0
2024-01-23 00:00:00+00:00,0,0,1,1
2024-01-29 00:00:00+00:00,1,1,3,1
2024-02-02 00:00:00+00:00,0,0,19,1
2024-02-09 00:00:00+00:00,0,0,1,1
2024-02-13 00:00:00+00:00,0,0,55,1
2024-02-14 00:00:00+00:00,0,0,1,1
2024-02-15 00:00:00+00:00,0,0,49,1
2024-02-16 00:00:00+00:00,0,0,6,2
2024-02-18 00:00:00+00:00,1,1,0,0
2024-02-20 00:00:00+00:00,0,0,1,1
2024-02-24 00:00:00+00:00,0,0,1,1
2024-02-26 00:00:00+00:00,0,0,1,1
2024-02-29 00:00:00+00:00,1,1,2,1
2024-03-01 00:00:00+00:00,0,0,11,2
2024-03-04 00:00:00+00:00,1,1,0,0
2024-03-08 00:00:00+00:00,1,1,0,0
2024-03-09 00:00:00+00:00,0,0,2,1
2024-03-10 00:00:00+00:00,1,1,0,0
2024-03-21 00:00:00+00:00,0,0,3,2
2024-03-25 00:00:00+00:00,0,0,2,1
2024-03-27 00:00:00+00:00,1,1,0,0
2024-03-28 00:00:00+00:00,1,1,0,0
2024-03-29 00:00:00+00:00,0,0,4,1
2024-04-01 00:00:00+00:00,0,0,2,1
2024-04-03 00:00:00+00:00,0,0,67,1
2024-04-08 00:00:00+00:00,0,0,2,1
2024-04-11 00:00:00+00:00,0,0,1,1
2024-04-16 00:00:00+00:00,0,0,2,1
2024-04-18 00:00:00+00:00,1,1,16,1
2024-05-09 00:00:00+00:00,1,1,0,0
2024-05-15 00:00:00+00:00,0,0,3,2
2024-05-18 00:00:00+00:00,0,0,1,1
2024-05-22 00:00:00+00:00,0,0,4,2
2024-05-23 00:00:00+00:00,0,0,1,1
2024-06-09 00:00:00+00:00,1,1,1,1
2024-06-14 00:00:00+00:00,0,0,2,1
2024-06-22 00:00:00+00:00,0,0,1,1
2024-06-26 00:00:00+00:00,0,0,14,1
2024-07-02 00:00:00+00:00,0,0,2,1
2024-07-09 00:00:00+00:00,0,0,1,1
2024-07-18 00:00:00+00:00,0,0,2,1
2024-07-23 00:00:00+00:00,0,0,1,1
2024-07-26 00:00:00+00:00,2,1,0,0
2024-08-01 00:00:00+00:00,1,1,0,0
2024-08-02 00:00:00+00:00,3,1,0,0
2024-08-03 00:00:00+00:00,1,1,0,0
2024-08-04 00:00:00+00:00,1,1,0,0
2024-08-06 00:00:00+00:00,1,1,1,1
2024-08-07 00:00:00+00:00,2,2,0,0
2024-08-08 00:00:00+00:00,2,2,0,0
2024-08-14 00:00:00+00:00,1,1,0,0
2024-08-15 00:00:00+00:00,2,2,0,0
2024-08-16 00:00:00+00:00,1,1,0,0
2024-08-17 00:00:00+00:00,1,1,1,1
2024-08-21 00:00:00+00:00,1,1,13,1
2024-08-22 00:00:00+00:00,2,2,0,0
2024-08-24 00:00:00+00:00,1,1,0,0
2024-08-25 00:00:00+00:00,1,1,0,0
2024-08-26 00:00:00+00:00,1,1,13,1
2024-08-28 00:00:00+00:00,1,1,4,1
2024-08-29 00:00:00+00:00,1,1,2,1
2024-08-31 00:00:00+00:00,1,1,0,0
2024-09-01 00:00:00+00:00,1,1,1,1
2024-09-02 00:00:00+00:00,1,1,0,0
2024-09-03 00:00:00+00:00,1,1,2,1
2024-09-04 00:00:00+00:00,1,1,0,0
2024-09-05 00:00:00+00:00,3,3,0,0
2024-09-06 00:00:00+00:00,1,1,2,1
2024-09-07 00:00:00+00:00,1,1,2,1
2024-09-08 00:00:00+00:00,1,1,0,0
2024-09-09 00:00:00+00:00,1,1,0,0
2024-09-10 00:00:00+00:00,1,1,0,0
2024-09-12 00:00:00+00:00,1,1,0,0
2024-09-13 00:00:00+00:00,0,0,4,2
2024-09-19 00:00:00+00:00,1,1,0,0
2024-09-26 00:00:00+00:00,1,1,1,1
2024-10-03 00:00:00+00:00,1,1,0,0
2024-10-10 00:00:00+00:00,1,1,1,1
2024-10-14 00:00:00+00:00,0,0,1,1
2024-10-15 00:00:00+00:00,0,0,3,1
2024-10-17 00:00:00+00:00,1,1,0,0
