time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-10 00:00:00+00:00,1,1,11,1
2025-06-11 00:00:00+00:00,96,2,146,2
2025-06-12 00:00:00+00:00,2,1,18,2
2025-06-17 00:00:00+00:00,0,0,5,1
2025-06-18 00:00:00+00:00,15,2,17,1
2025-06-23 00:00:00+00:00,5,5,12,3
2025-06-24 00:00:00+00:00,0,0,7,2
2025-06-26 00:00:00+00:00,0,0,1,1
2025-06-28 00:00:00+00:00,1,1,0,0
2025-07-01 00:00:00+00:00,1,1,0,0
2025-07-03 00:00:00+00:00,1,1,0,0
2025-07-04 00:00:00+00:00,2,2,0,0
2025-07-05 00:00:00+00:00,1,1,0,0
2025-07-06 00:00:00+00:00,1,1,0,0
2025-07-07 00:00:00+00:00,0,0,10,1
2025-07-08 00:00:00+00:00,5,2,41,3
2025-07-09 00:00:00+00:00,0,0,9,1
2025-07-10 00:00:00+00:00,1,1,1,1
2025-07-11 00:00:00+00:00,1,1,0,0
2025-07-14 00:00:00+00:00,0,0,2,2
2025-07-15 00:00:00+00:00,1,1,0,0
2025-07-21 00:00:00+00:00,0,0,1,1
2025-07-24 00:00:00+00:00,1,1,3,1
2025-07-25 00:00:00+00:00,0,0,1,1
2025-07-28 00:00:00+00:00,0,0,1,1
2025-07-29 00:00:00+00:00,0,0,2,1
2025-07-30 00:00:00+00:00,1,1,1,1
2025-08-05 00:00:00+00:00,1,1,0,0
2025-08-13 00:00:00+00:00,0,0,5,1
2025-08-16 00:00:00+00:00,1,1,0,0
2025-08-21 00:00:00+00:00,1,1,0,0
2025-08-27 00:00:00+00:00,1,1,0,0
2025-09-01 00:00:00+00:00,1,1,0,0
