time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-22 00:00:00+00:00,2.0,2.0,37.0,2.0
2025-05-23 00:00:00+00:00,2.0,2.0,22.0,2.0
2025-05-25 00:00:00+00:00,1.0,1.0,,
2025-05-27 00:00:00+00:00,,,7.0,1.0
2025-05-28 00:00:00+00:00,,,1.0,1.0
2025-05-29 00:00:00+00:00,1.0,1.0,12.0,1.0
2025-05-30 00:00:00+00:00,1.0,1.0,1.0,1.0
2025-05-31 00:00:00+00:00,1.0,1.0,,
2025-06-02 00:00:00+00:00,16.0,7.0,18.0,2.0
2025-06-03 00:00:00+00:00,2.0,2.0,,
2025-06-04 00:00:00+00:00,9.0,1.0,8.0,2.0
