time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-07 00:00:00+00:00,26,2,72,1
2025-05-08 00:00:00+00:00,58,3,108,2
2025-05-09 00:00:00+00:00,36,1,25,2
2025-05-12 00:00:00+00:00,1,1,34,1
2025-05-13 00:00:00+00:00,1,1,59,1
2025-05-14 00:00:00+00:00,1,1,26,2
2025-05-15 00:00:00+00:00,0,0,5,2
2025-05-16 00:00:00+00:00,37,2,34,2
2025-05-19 00:00:00+00:00,0,0,16,1
2025-05-20 00:00:00+00:00,5,5,54,3
2025-05-21 00:00:00+00:00,41,6,118,3
2025-05-22 00:00:00+00:00,2,2,37,2
2025-05-23 00:00:00+00:00,2,2,22,2
2025-05-25 00:00:00+00:00,1,1,0,0
2025-05-27 00:00:00+00:00,0,0,7,1
2025-05-28 00:00:00+00:00,0,0,1,1
2025-05-29 00:00:00+00:00,1,1,12,1
2025-05-30 00:00:00+00:00,1,1,1,1
2025-05-31 00:00:00+00:00,1,1,0,0
2025-06-02 00:00:00+00:00,16,7,18,2
2025-06-03 00:00:00+00:00,2,2,0,0
2025-06-04 00:00:00+00:00,9,1,8,2
2025-06-05 00:00:00+00:00,0,0,5,1
2025-06-07 00:00:00+00:00,1,1,0,0
2025-06-08 00:00:00+00:00,1,1,0,0
2025-06-09 00:00:00+00:00,0,0,3,1
2025-06-11 00:00:00+00:00,0,0,5,1
2025-06-12 00:00:00+00:00,0,0,1,1
2025-06-14 00:00:00+00:00,1,1,0,0
2025-06-16 00:00:00+00:00,1,1,0,0
2025-06-17 00:00:00+00:00,1,1,12,1
2025-06-18 00:00:00+00:00,0,0,10,1
2025-06-21 00:00:00+00:00,2,2,0,0
2025-06-23 00:00:00+00:00,0,0,1,1
2025-06-24 00:00:00+00:00,0,0,2,1
2025-06-28 00:00:00+00:00,1,1,0,0
2025-06-30 00:00:00+00:00,1,1,0,0
2025-07-01 00:00:00+00:00,1,1,0,0
2025-07-03 00:00:00+00:00,1,1,0,0
2025-07-04 00:00:00+00:00,2,2,0,0
2025-07-05 00:00:00+00:00,2,2,0,0
2025-07-08 00:00:00+00:00,0,0,3,1
2025-07-09 00:00:00+00:00,0,0,15,1
2025-07-10 00:00:00+00:00,1,1,5,1
2025-07-11 00:00:00+00:00,1,1,0,0
2025-07-12 00:00:00+00:00,1,1,0,0
2025-07-14 00:00:00+00:00,1,1,0,0
2025-07-15 00:00:00+00:00,1,1,4,1
2025-07-17 00:00:00+00:00,1,1,0,0
2025-07-19 00:00:00+00:00,1,1,0,0
2025-07-25 00:00:00+00:00,1,1,0,0
2025-07-26 00:00:00+00:00,1,1,0,0
2025-07-29 00:00:00+00:00,0,0,6,1
2025-07-30 00:00:00+00:00,1,1,0,0
2025-07-31 00:00:00+00:00,1,1,0,0
2025-08-08 00:00:00+00:00,1,1,0,0
2025-08-13 00:00:00+00:00,0,0,10,2
