time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-04 00:00:00+00:00,0,0,6,2
2025-02-05 00:00:00+00:00,0,0,13,1
2025-02-09 00:00:00+00:00,0,0,2,1
2025-02-11 00:00:00+00:00,36,1,41,4
2025-02-12 00:00:00+00:00,18,1,13,1
2025-02-13 00:00:00+00:00,0,0,2,1
2025-02-14 00:00:00+00:00,0,0,5,1
2025-02-17 00:00:00+00:00,7,7,44,6
2025-02-18 00:00:00+00:00,0,0,15,3
2025-02-19 00:00:00+00:00,0,0,2,2
2025-02-20 00:00:00+00:00,0,0,11,2
2025-02-23 00:00:00+00:00,0,0,2,2
2025-02-25 00:00:00+00:00,1,1,14,1
2025-02-26 00:00:00+00:00,0,0,31,3
2025-02-28 00:00:00+00:00,0,0,1,1
2025-03-01 00:00:00+00:00,1,1,0,0
2025-03-02 00:00:00+00:00,1,1,0,0
2025-03-03 00:00:00+00:00,0,0,1,1
2025-03-04 00:00:00+00:00,21,4,2,2
2025-03-05 00:00:00+00:00,0,0,5,1
2025-03-06 00:00:00+00:00,19,2,29,1
2025-03-08 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,0,0,1,1
2025-03-12 00:00:00+00:00,0,0,14,2
2025-03-13 00:00:00+00:00,1,1,12,1
2025-03-14 00:00:00+00:00,0,0,3,1
2025-03-17 00:00:00+00:00,0,0,1,1
2025-03-18 00:00:00+00:00,0,0,13,2
2025-03-20 00:00:00+00:00,2,2,0,0
2025-03-21 00:00:00+00:00,1,1,0,0
2025-03-31 00:00:00+00:00,3,3,0,0
2025-04-01 00:00:00+00:00,2,2,0,0
2025-04-04 00:00:00+00:00,0,0,1,1
2025-04-09 00:00:00+00:00,1,1,0,0
2025-04-14 00:00:00+00:00,0,0,23,2
2025-04-17 00:00:00+00:00,1,1,0,0
2025-04-18 00:00:00+00:00,1,1,0,0
2025-04-22 00:00:00+00:00,10,2,18,2
2025-04-23 00:00:00+00:00,9,1,11,1
2025-04-24 00:00:00+00:00,18,1,19,3
2025-04-25 00:00:00+00:00,1,1,1,1
2025-05-01 00:00:00+00:00,0,0,7,1
2025-05-02 00:00:00+00:00,0,0,1,1
2025-05-06 00:00:00+00:00,0,0,2,2
2025-05-07 00:00:00+00:00,1,1,1,1
2025-05-08 00:00:00+00:00,0,0,7,1
2025-05-09 00:00:00+00:00,0,0,8,1
2025-05-12 00:00:00+00:00,3,2,9,1
2025-05-13 00:00:00+00:00,81,5,131,2
2025-05-14 00:00:00+00:00,9,1,11,2
2025-05-15 00:00:00+00:00,0,0,3,1
2025-05-16 00:00:00+00:00,0,0,6,2
2025-05-19 00:00:00+00:00,0,0,6,1
2025-05-20 00:00:00+00:00,0,0,20,2
2025-05-21 00:00:00+00:00,0,0,20,2
