url_path,views_total,views_unique
/cicsdev/cics-java-osgi-mq-jms/tree/main,9,5
/cicsdev/cics-java-osgi-mq-jms/tree/main/sample/jms,7,2
/cicsdev/cics-java-osgi-mq-jms/blob/main/sample/jms/QAdd.java,4,2
/cicsdev/cics-java-osgi-mq-jms/blob/main/MAINTAINERS.md,3,2
/cicsdev/cics-java-osgi-mq-jms/blob/main/.bindings,2,2
/cicsdev/cics-java-osgi-mq-jms,1,1
/cicsdev/cics-java-osgi-mq-jms/blame/main/MAINTAINERS.md,1,1
/cicsdev/cics-java-osgi-mq-jms/blob/main/README.md,1,1
/cicsdev/cics-java-osgi-mq-jms/blob/main/sample/jms/QAddBundleActivator.java,1,1
/cicsdev/cics-java-osgi-mq-jms/issues,1,1
