time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-18 00:00:00+00:00,0,0,3,1
2024-11-25 00:00:00+00:00,1,1,8,1
2024-11-26 00:00:00+00:00,0,0,1,1
2024-11-28 00:00:00+00:00,0,0,7,1
2024-12-11 00:00:00+00:00,1,1,0,0
2024-12-18 00:00:00+00:00,0,0,1,1
2025-01-09 00:00:00+00:00,0,0,2,1
2025-01-14 00:00:00+00:00,0,0,1,1
2025-01-17 00:00:00+00:00,0,0,2,1
2025-01-29 00:00:00+00:00,0,0,1,1
2025-02-12 00:00:00+00:00,0,0,1,1
2025-02-13 00:00:00+00:00,1,1,0,0
2025-02-14 00:00:00+00:00,1,1,0,0
2025-02-18 00:00:00+00:00,0,0,3,1
2025-02-19 00:00:00+00:00,0,0,3,1
2025-02-20 00:00:00+00:00,0,0,3,2
2025-02-24 00:00:00+00:00,0,0,3,2
2025-02-25 00:00:00+00:00,0,0,9,2
2025-03-03 00:00:00+00:00,2,2,1,1
2025-03-06 00:00:00+00:00,1,1,4,1
2025-03-09 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,0,0,2,1
2025-03-11 00:00:00+00:00,0,0,2,1
2025-03-12 00:00:00+00:00,0,0,10,2
2025-03-13 00:00:00+00:00,1,1,3,1
2025-03-17 00:00:00+00:00,0,0,1,1
2025-03-18 00:00:00+00:00,0,0,9,2
2025-03-19 00:00:00+00:00,0,0,5,2
2025-03-21 00:00:00+00:00,1,1,0,0
2025-03-23 00:00:00+00:00,0,0,1,1
2025-03-24 00:00:00+00:00,1,1,1,1
2025-04-11 00:00:00+00:00,0,0,1,1
2025-04-15 00:00:00+00:00,0,0,4,1
2025-04-17 00:00:00+00:00,0,0,1,1
2025-04-19 00:00:00+00:00,0,0,1,1
2025-04-26 00:00:00+00:00,1,1,0,0
2025-04-28 00:00:00+00:00,0,0,1,1
2025-04-29 00:00:00+00:00,1,1,1,1
2025-05-06 00:00:00+00:00,0,0,1,1
2025-05-22 00:00:00+00:00,1,1,1,1
2025-06-06 00:00:00+00:00,1,1,0,0
2025-06-09 00:00:00+00:00,1,1,0,0
2025-06-13 00:00:00+00:00,0,0,1,1
2025-06-19 00:00:00+00:00,1,1,0,0
2025-06-20 00:00:00+00:00,0,0,1,1
2025-06-24 00:00:00+00:00,0,0,2,1
2025-06-28 00:00:00+00:00,1,1,0,0
2025-07-01 00:00:00+00:00,1,1,0,0
2025-07-03 00:00:00+00:00,2,2,0,0
2025-07-04 00:00:00+00:00,3,3,0,0
2025-07-05 00:00:00+00:00,1,1,0,0
2025-07-10 00:00:00+00:00,1,1,0,0
2025-07-11 00:00:00+00:00,1,1,0,0
2025-07-15 00:00:00+00:00,1,1,0,0
2025-07-30 00:00:00+00:00,1,1,0,0
2025-08-14 00:00:00+00:00,1,1,0,0
