time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-04 00:00:00+00:00,1,1,17,1
2023-12-06 00:00:00+00:00,0,0,35,1
2023-12-07 00:00:00+00:00,2,2,12,4
2023-12-08 00:00:00+00:00,1,1,1,1
2023-12-09 00:00:00+00:00,2,2,2,1
2023-12-10 00:00:00+00:00,0,0,36,2
2023-12-11 00:00:00+00:00,0,0,60,2
2023-12-12 00:00:00+00:00,0,0,47,4
2023-12-13 00:00:00+00:00,2,2,26,1
2023-12-14 00:00:00+00:00,0,0,1,1
2023-12-15 00:00:00+00:00,0,0,2,1
2023-12-16 00:00:00+00:00,0,0,1,1
2023-12-17 00:00:00+00:00,0,0,13,1
2023-12-18 00:00:00+00:00,0,0,33,2
2023-12-19 00:00:00+00:00,0,0,9,3
2023-12-20 00:00:00+00:00,0,0,8,1
2023-12-21 00:00:00+00:00,0,0,24,2
2023-12-24 00:00:00+00:00,1,1,0,0
2023-12-28 00:00:00+00:00,1,1,7,2
2023-12-29 00:00:00+00:00,3,2,1,1
2023-12-31 00:00:00+00:00,4,1,0,0
2024-01-01 00:00:00+00:00,2,1,0,0
2024-01-02 00:00:00+00:00,0,0,1,1
2024-01-04 00:00:00+00:00,0,0,49,2
2024-01-05 00:00:00+00:00,0,0,59,3
2024-01-06 00:00:00+00:00,0,0,2,1
2024-01-08 00:00:00+00:00,0,0,1,1
2024-01-10 00:00:00+00:00,0,0,3,2
2024-01-11 00:00:00+00:00,2,2,16,2
2024-01-12 00:00:00+00:00,6,1,0,0
2024-01-13 00:00:00+00:00,2,2,23,1
2024-01-16 00:00:00+00:00,1,1,23,1
2024-01-17 00:00:00+00:00,0,0,15,2
2024-01-19 00:00:00+00:00,5,1,81,3
2024-01-20 00:00:00+00:00,0,0,9,2
2024-01-23 00:00:00+00:00,0,0,23,4
2024-01-24 00:00:00+00:00,2,1,20,3
2024-01-25 00:00:00+00:00,1,1,2,2
2024-01-26 00:00:00+00:00,2,1,2,1
2024-01-27 00:00:00+00:00,0,0,1,1
2024-01-28 00:00:00+00:00,0,0,8,1
