time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-04 00:00:00+00:00,0,0,3,1
2023-12-07 00:00:00+00:00,2,2,0,0
2023-12-20 00:00:00+00:00,1,1,0,0
2023-12-26 00:00:00+00:00,1,1,0,0
2023-12-29 00:00:00+00:00,2,1,0,0
2024-01-07 00:00:00+00:00,0,0,2,1
2024-01-08 00:00:00+00:00,1,1,0,0
2024-01-11 00:00:00+00:00,1,1,0,0
2024-01-12 00:00:00+00:00,1,1,0,0
2024-01-13 00:00:00+00:00,1,1,0,0
2024-01-29 00:00:00+00:00,1,1,0,0
2024-01-30 00:00:00+00:00,2,2,0,0
2024-02-01 00:00:00+00:00,1,1,0,0
2024-02-27 00:00:00+00:00,1,1,0,0
2024-02-28 00:00:00+00:00,1,1,1,1
2024-03-05 00:00:00+00:00,1,1,0,0
2024-03-06 00:00:00+00:00,0,0,1,1
2024-03-07 00:00:00+00:00,1,1,0,0
2024-03-10 00:00:00+00:00,1,1,0,0
2024-03-15 00:00:00+00:00,0,0,8,1
2024-03-18 00:00:00+00:00,1,1,0,0
2024-03-20 00:00:00+00:00,0,0,2,1
2024-03-22 00:00:00+00:00,1,1,0,0
2024-03-30 00:00:00+00:00,1,1,0,0
2024-04-05 00:00:00+00:00,0,0,4,1
2024-04-06 00:00:00+00:00,1,1,0,0
2024-04-22 00:00:00+00:00,1,1,0,0
2024-04-29 00:00:00+00:00,1,1,0,0
2024-05-07 00:00:00+00:00,1,1,0,0
2024-05-08 00:00:00+00:00,0,0,1,1
2024-05-09 00:00:00+00:00,1,1,0,0
2024-05-23 00:00:00+00:00,1,1,0,0
2024-05-29 00:00:00+00:00,0,0,2,2
2024-05-30 00:00:00+00:00,1,1,0,0
2024-06-05 00:00:00+00:00,0,0,1,1
2024-06-06 00:00:00+00:00,0,0,2,1
2024-06-07 00:00:00+00:00,1,1,0,0
2024-06-09 00:00:00+00:00,1,1,0,0
2024-06-13 00:00:00+00:00,1,1,0,0
2024-06-18 00:00:00+00:00,0,0,9,1
2024-06-19 00:00:00+00:00,0,0,1,1
2024-06-20 00:00:00+00:00,1,1,0,0
2024-06-21 00:00:00+00:00,0,0,1,1
2024-06-22 00:00:00+00:00,0,0,5,1
2024-06-25 00:00:00+00:00,0,0,1,1
2024-06-27 00:00:00+00:00,0,0,22,2
2024-06-28 00:00:00+00:00,0,0,1,1
2024-06-30 00:00:00+00:00,1,1,0,0
2024-07-09 00:00:00+00:00,0,0,1,1
2024-07-22 00:00:00+00:00,0,0,1,1
2024-07-24 00:00:00+00:00,0,0,1,1
2024-07-26 00:00:00+00:00,1,1,0,0
2024-07-29 00:00:00+00:00,0,0,3,1
2024-07-30 00:00:00+00:00,0,0,2,1
2024-08-01 00:00:00+00:00,0,0,1,1
2024-08-02 00:00:00+00:00,2,1,0,0
2024-08-03 00:00:00+00:00,1,1,0,0
2024-08-04 00:00:00+00:00,1,1,0,0
2024-08-05 00:00:00+00:00,1,1,0,0
2024-08-06 00:00:00+00:00,1,1,2,1
2024-08-07 00:00:00+00:00,4,2,1,1
2024-08-08 00:00:00+00:00,1,1,0,0
2024-08-14 00:00:00+00:00,0,0,4,1
