time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-05 00:00:00+00:00,0,0,40,2
2023-12-07 00:00:00+00:00,1,1,2,1
2023-12-24 00:00:00+00:00,1,1,0,0
2023-12-28 00:00:00+00:00,0,0,1,1
2023-12-29 00:00:00+00:00,2,1,0,0
2023-12-31 00:00:00+00:00,0,0,2,2
2024-01-01 00:00:00+00:00,0,0,2,2
2024-01-11 00:00:00+00:00,2,2,0,0
2024-01-16 00:00:00+00:00,1,1,0,0
2024-01-26 00:00:00+00:00,1,1,6,1
2024-01-27 00:00:00+00:00,0,0,18,1
2024-01-29 00:00:00+00:00,1,1,0,0
2024-02-24 00:00:00+00:00,1,1,0,0
2024-02-27 00:00:00+00:00,1,1,0,0
2024-02-29 00:00:00+00:00,2,2,0,0
2024-03-07 00:00:00+00:00,1,1,0,0
2024-03-14 00:00:00+00:00,0,0,22,1
2024-03-15 00:00:00+00:00,1,1,6,1
2024-03-16 00:00:00+00:00,0,0,7,1
2024-04-05 00:00:00+00:00,0,0,16,1
2024-04-08 00:00:00+00:00,0,0,1,1
2024-04-22 00:00:00+00:00,0,0,1,1
2024-04-28 00:00:00+00:00,1,1,0,0
2024-04-29 00:00:00+00:00,0,0,2,2
2024-05-01 00:00:00+00:00,0,0,1,1
2024-05-03 00:00:00+00:00,0,0,1,1
2024-05-09 00:00:00+00:00,1,1,0,0
2024-05-11 00:00:00+00:00,0,0,1,1
2024-05-26 00:00:00+00:00,0,0,1,1
2024-05-28 00:00:00+00:00,0,0,1,1
2024-05-29 00:00:00+00:00,0,0,2,2
2024-05-30 00:00:00+00:00,1,1,0,0
2024-06-01 00:00:00+00:00,0,0,1,1
2024-06-05 00:00:00+00:00,0,0,1,1
2024-06-09 00:00:00+00:00,1,1,0,0
2024-06-10 00:00:00+00:00,0,0,1,1
2024-06-13 00:00:00+00:00,1,1,0,0
2024-06-14 00:00:00+00:00,0,0,9,2
2024-06-18 00:00:00+00:00,0,0,4,1
2024-06-20 00:00:00+00:00,0,0,2,2
2024-06-22 00:00:00+00:00,0,0,13,1
2024-06-27 00:00:00+00:00,0,0,18,1
2024-06-30 00:00:00+00:00,1,1,0,0
2024-07-17 00:00:00+00:00,0,0,1,1
2024-07-22 00:00:00+00:00,0,0,1,1
2024-08-01 00:00:00+00:00,1,1,0,0
2024-08-02 00:00:00+00:00,1,1,1,1
2024-08-03 00:00:00+00:00,1,1,0,0
2024-08-06 00:00:00+00:00,1,1,7,2
2024-08-07 00:00:00+00:00,2,2,6,2
2024-08-08 00:00:00+00:00,1,1,11,1
2024-08-12 00:00:00+00:00,0,0,1,1
2024-08-14 00:00:00+00:00,0,0,3,2
2024-08-19 00:00:00+00:00,0,0,3,1
2024-09-02 00:00:00+00:00,1,1,0,0
2024-09-16 00:00:00+00:00,1,1,0,0
2024-10-23 00:00:00+00:00,0,0,3,1
