time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-17 00:00:00+00:00,0,0,2,1
2024-11-18 00:00:00+00:00,1,1,1,1
2024-11-19 00:00:00+00:00,0,0,2,2
2024-11-20 00:00:00+00:00,0,0,2,2
2024-11-21 00:00:00+00:00,1,1,0,0
2024-11-22 00:00:00+00:00,1,1,3,1
2024-11-23 00:00:00+00:00,0,0,5,1
2024-11-25 00:00:00+00:00,1,1,0,0
2024-11-26 00:00:00+00:00,1,1,0,0
2024-11-27 00:00:00+00:00,1,1,0,0
2024-11-28 00:00:00+00:00,0,0,7,1
2024-11-29 00:00:00+00:00,0,0,2,1
2024-11-30 00:00:00+00:00,0,0,1,1
2024-12-01 00:00:00+00:00,0,0,1,1
2024-12-02 00:00:00+00:00,1,1,0,0
2024-12-04 00:00:00+00:00,1,1,0,0
2024-12-05 00:00:00+00:00,1,1,1,1
2024-12-06 00:00:00+00:00,0,0,1,1
2024-12-07 00:00:00+00:00,0,0,1,1
2024-12-09 00:00:00+00:00,1,1,0,0
2024-12-10 00:00:00+00:00,1,1,9,3
2024-12-11 00:00:00+00:00,2,2,0,0
2024-12-16 00:00:00+00:00,1,1,0,0
2024-12-18 00:00:00+00:00,1,1,0,0
2024-12-21 00:00:00+00:00,0,0,1,1
2024-12-22 00:00:00+00:00,1,1,1,1
2024-12-23 00:00:00+00:00,1,1,1,1
2024-12-25 00:00:00+00:00,1,1,0,0
2024-12-30 00:00:00+00:00,1,1,0,0
2025-01-01 00:00:00+00:00,1,1,0,0
2025-01-04 00:00:00+00:00,0,0,1,1
2025-01-06 00:00:00+00:00,2,2,0,0
2025-01-08 00:00:00+00:00,1,1,0,0
2025-01-13 00:00:00+00:00,2,2,2,2
2025-01-15 00:00:00+00:00,1,1,0,0
2025-01-16 00:00:00+00:00,1,1,0,0
2025-01-19 00:00:00+00:00,0,0,8,1
2025-01-20 00:00:00+00:00,1,1,0,0
2025-01-22 00:00:00+00:00,1,1,4,3
2025-01-24 00:00:00+00:00,0,0,6,2
2025-01-27 00:00:00+00:00,1,1,0,0
2025-01-28 00:00:00+00:00,0,0,3,3
2025-01-29 00:00:00+00:00,1,1,0,0
2025-01-30 00:00:00+00:00,1,1,6,3
2025-02-01 00:00:00+00:00,1,1,0,0
2025-02-03 00:00:00+00:00,1,1,0,0
2025-02-04 00:00:00+00:00,0,0,1,1
2025-02-05 00:00:00+00:00,1,1,3,2
2025-02-06 00:00:00+00:00,0,0,1,1
2025-02-07 00:00:00+00:00,0,0,1,1
2025-02-10 00:00:00+00:00,1,1,5,2
2025-02-11 00:00:00+00:00,0,0,3,3
2025-02-12 00:00:00+00:00,1,1,0,0
2025-02-13 00:00:00+00:00,1,1,2,2
2025-02-14 00:00:00+00:00,0,0,5,2
2025-02-16 00:00:00+00:00,0,0,3,1
2025-02-17 00:00:00+00:00,1,1,0,0
2025-02-18 00:00:00+00:00,0,0,2,1
2025-02-19 00:00:00+00:00,1,1,3,2
2025-02-20 00:00:00+00:00,0,0,5,2
2025-02-24 00:00:00+00:00,1,1,0,0
2025-02-25 00:00:00+00:00,0,0,1,1
2025-02-26 00:00:00+00:00,1,1,0,0
2025-02-27 00:00:00+00:00,0,0,1,1
2025-03-01 00:00:00+00:00,1,1,0,0
2025-03-03 00:00:00+00:00,1,1,0,0
2025-03-05 00:00:00+00:00,1,1,0,0
2025-03-06 00:00:00+00:00,0,0,19,2
2025-03-08 00:00:00+00:00,1,1,0,0
2025-03-09 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,1,1,3,3
2025-03-11 00:00:00+00:00,3,3,0,0
2025-03-12 00:00:00+00:00,1,1,1,1
2025-03-13 00:00:00+00:00,1,1,1,1
2025-03-14 00:00:00+00:00,0,0,1,1
2025-03-16 00:00:00+00:00,0,0,1,1
2025-03-17 00:00:00+00:00,1,1,0,0
2025-03-18 00:00:00+00:00,0,0,1,1
2025-03-19 00:00:00+00:00,2,2,1,1
2025-03-21 00:00:00+00:00,0,0,1,1
2025-03-24 00:00:00+00:00,1,1,2,2
2025-03-26 00:00:00+00:00,2,2,2,2
2025-03-27 00:00:00+00:00,1,1,14,1
2025-03-28 00:00:00+00:00,1,1,8,4
2025-03-29 00:00:00+00:00,3,1,0,0
2025-03-31 00:00:00+00:00,2,2,0,0
2025-04-02 00:00:00+00:00,1,1,0,0
2025-04-05 00:00:00+00:00,1,1,0,0
2025-04-06 00:00:00+00:00,0,0,1,1
2025-04-07 00:00:00+00:00,2,2,0,0
2025-04-08 00:00:00+00:00,1,1,7,2
2025-04-09 00:00:00+00:00,1,1,3,1
2025-04-12 00:00:00+00:00,0,0,1,1
2025-04-13 00:00:00+00:00,0,0,1,1
2025-04-14 00:00:00+00:00,1,1,0,0
2025-04-16 00:00:00+00:00,1,1,6,1
2025-04-21 00:00:00+00:00,1,1,0,0
2025-04-22 00:00:00+00:00,0,0,1,1
2025-04-23 00:00:00+00:00,1,1,1,1
2025-04-24 00:00:00+00:00,1,1,0,0
2025-04-25 00:00:00+00:00,1,1,1,1
2025-04-27 00:00:00+00:00,1,1,0,0
2025-04-28 00:00:00+00:00,1,1,7,2
2025-04-29 00:00:00+00:00,1,1,2,2
2025-04-30 00:00:00+00:00,1,1,2,2
2025-05-04 00:00:00+00:00,0,0,2,1
2025-05-05 00:00:00+00:00,1,1,0,0
2025-05-06 00:00:00+00:00,0,0,1,1
2025-05-07 00:00:00+00:00,1,1,1,1
2025-05-08 00:00:00+00:00,0,0,1,1
2025-05-12 00:00:00+00:00,1,1,0,0
2025-05-13 00:00:00+00:00,0,0,1,1
2025-05-14 00:00:00+00:00,1,1,0,0
2025-05-16 00:00:00+00:00,0,0,2,2
2025-05-19 00:00:00+00:00,2,1,0,0
2025-05-21 00:00:00+00:00,1,1,1,1
2025-05-22 00:00:00+00:00,0,0,3,1
2025-05-26 00:00:00+00:00,1,1,1,1
2025-05-27 00:00:00+00:00,0,0,2,1
