time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-14 00:00:00+00:00,1,1,0,0
2023-12-19 00:00:00+00:00,0,0,1,1
2023-12-24 00:00:00+00:00,1,1,0,0
2023-12-25 00:00:00+00:00,1,1,0,0
2023-12-29 00:00:00+00:00,2,1,0,0
2024-01-01 00:00:00+00:00,2,1,0,0
2024-01-08 00:00:00+00:00,0,0,5,1
2024-01-11 00:00:00+00:00,1,1,0,0
2024-01-12 00:00:00+00:00,1,1,0,0
2024-01-18 00:00:00+00:00,0,0,1,1
2024-01-28 00:00:00+00:00,1,1,0,0
2024-01-29 00:00:00+00:00,1,1,0,0
2024-01-30 00:00:00+00:00,0,0,28,1
2024-02-15 00:00:00+00:00,0,0,3,1
2024-02-21 00:00:00+00:00,1,1,0,0
2024-02-29 00:00:00+00:00,0,0,25,3
2024-03-12 00:00:00+00:00,0,0,2,1
2024-03-14 00:00:00+00:00,0,0,23,1
2024-03-28 00:00:00+00:00,1,1,3,1
2024-04-01 00:00:00+00:00,1,1,2,1
2024-04-07 00:00:00+00:00,1,1,0,0
2024-04-12 00:00:00+00:00,0,0,2,1
2024-04-16 00:00:00+00:00,0,0,10,3
2024-04-22 00:00:00+00:00,0,0,3,1
2024-04-23 00:00:00+00:00,0,0,4,1
2024-04-25 00:00:00+00:00,0,0,1,1
2024-05-09 00:00:00+00:00,1,1,1,1
2024-05-13 00:00:00+00:00,0,0,2,1
2024-05-16 00:00:00+00:00,0,0,2,1
2024-05-21 00:00:00+00:00,0,0,2,1
2024-05-22 00:00:00+00:00,0,0,4,1
2024-05-27 00:00:00+00:00,0,0,7,1
2024-06-03 00:00:00+00:00,0,0,2,1
2024-06-06 00:00:00+00:00,0,0,2,1
2024-06-09 00:00:00+00:00,2,1,0,0
2024-06-13 00:00:00+00:00,0,0,2,1
2024-06-18 00:00:00+00:00,0,0,2,1
2024-06-20 00:00:00+00:00,0,0,14,1
2024-06-21 00:00:00+00:00,0,0,1,1
2024-06-24 00:00:00+00:00,0,0,4,2
2024-07-03 00:00:00+00:00,0,0,1,1
2024-07-04 00:00:00+00:00,0,0,3,2
2024-07-05 00:00:00+00:00,0,0,2,1
2024-07-08 00:00:00+00:00,0,0,3,2
2024-07-10 00:00:00+00:00,0,0,10,5
2024-07-11 00:00:00+00:00,0,0,1,1
2024-07-13 00:00:00+00:00,0,0,1,1
2024-07-15 00:00:00+00:00,0,0,2,1
2024-07-16 00:00:00+00:00,0,0,4,2
2024-07-17 00:00:00+00:00,0,0,1,1
2024-07-20 00:00:00+00:00,0,0,18,1
2024-07-22 00:00:00+00:00,0,0,2,1
2024-07-23 00:00:00+00:00,0,0,1,1
2024-07-24 00:00:00+00:00,0,0,6,1
2024-07-26 00:00:00+00:00,1,1,0,0
2024-07-28 00:00:00+00:00,0,0,1,1
2024-07-29 00:00:00+00:00,0,0,1,1
2024-07-31 00:00:00+00:00,0,0,3,2
2024-08-01 00:00:00+00:00,1,1,1,1
2024-08-02 00:00:00+00:00,3,1,1,1
2024-08-04 00:00:00+00:00,1,1,0,0
2024-08-06 00:00:00+00:00,1,1,3,2
2024-08-07 00:00:00+00:00,1,1,0,0
2024-08-08 00:00:00+00:00,1,1,2,2
2024-08-09 00:00:00+00:00,0,0,1,1
2024-08-11 00:00:00+00:00,1,1,0,0
2024-08-12 00:00:00+00:00,1,1,0,0
2024-08-13 00:00:00+00:00,1,1,0,0
2024-08-14 00:00:00+00:00,1,1,0,0
2024-08-15 00:00:00+00:00,1,1,7,3
2024-08-16 00:00:00+00:00,1,1,0,0
2024-08-17 00:00:00+00:00,1,1,0,0
2024-08-18 00:00:00+00:00,1,1,0,0
2024-08-19 00:00:00+00:00,2,2,1,1
2024-08-21 00:00:00+00:00,1,1,1,1
2024-08-22 00:00:00+00:00,1,1,1,1
2024-08-23 00:00:00+00:00,1,1,0,0
2024-08-24 00:00:00+00:00,1,1,0,0
2024-08-25 00:00:00+00:00,1,1,0,0
2024-08-26 00:00:00+00:00,0,0,2,2
2024-08-28 00:00:00+00:00,1,1,1,1
2024-08-29 00:00:00+00:00,1,1,1,1
2024-08-30 00:00:00+00:00,0,0,2,1
2024-08-31 00:00:00+00:00,1,1,0,0
2024-09-01 00:00:00+00:00,2,2,0,0
2024-09-02 00:00:00+00:00,1,1,2,1
2024-09-03 00:00:00+00:00,1,1,2,1
2024-09-04 00:00:00+00:00,0,0,3,2
2024-09-06 00:00:00+00:00,1,1,1,1
2024-09-09 00:00:00+00:00,1,1,0,0
2024-09-10 00:00:00+00:00,0,0,1,1
2024-09-11 00:00:00+00:00,0,0,2,1
2024-09-12 00:00:00+00:00,0,0,1,1
2024-09-16 00:00:00+00:00,0,0,4,2
2024-09-17 00:00:00+00:00,0,0,2,2
2024-09-19 00:00:00+00:00,0,0,1,1
2024-09-23 00:00:00+00:00,0,0,16,2
2024-09-24 00:00:00+00:00,0,0,2,1
2024-09-25 00:00:00+00:00,0,0,1,1
2024-09-30 00:00:00+00:00,0,0,1,1
2024-10-03 00:00:00+00:00,0,0,1,1
2024-10-07 00:00:00+00:00,0,0,3,1
2024-10-08 00:00:00+00:00,0,0,2,1
2024-10-10 00:00:00+00:00,0,0,2,2
2024-10-11 00:00:00+00:00,0,0,2,2
