url_path,views_total,views_unique
/cicsdev/cics-security-sdv-samples,117,6
/cicsdev/cics-security-sdv-samples/pulls,26,1
/cicsdev/cics-security-sdv-samples/actions,20,1
/cicsdev/cics-security-sdv-samples/security,19,2
/cicsdev/cics-security-sdv-samples/security/dependabot,17,1
/cicsdev/cics-security-sdv-samples/blob/main/.gitignore,16,1
/cicsdev/cics-security-sdv-samples/tree/main/.cicsdev,13,2
/cicsdev/cics-security-sdv-samples/tree/main/docs,13,2
/cicsdev/cics-security-sdv-samples/pull/7,10,1
/cicsdev/cics-security-sdv-samples/actions/runs/10809158392,9,2
