time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-17 00:00:00+00:00,1,1,0,0
2024-11-25 00:00:00+00:00,6,3,6,3
2024-11-26 00:00:00+00:00,0,0,22,2
2024-11-29 00:00:00+00:00,1,1,1,1
2024-12-03 00:00:00+00:00,0,0,5,1
2024-12-09 00:00:00+00:00,5,2,6,1
2024-12-10 00:00:00+00:00,0,0,1,1
2024-12-11 00:00:00+00:00,0,0,1,1
2024-12-16 00:00:00+00:00,7,3,4,3
2024-12-18 00:00:00+00:00,6,3,19,3
2024-12-20 00:00:00+00:00,0,0,1,1
2024-12-30 00:00:00+00:00,1,1,0,0
2025-01-01 00:00:00+00:00,1,1,8,1
2025-01-03 00:00:00+00:00,0,0,29,2
2025-01-04 00:00:00+00:00,19,8,68,3
2025-01-05 00:00:00+00:00,0,0,1,1
2025-01-08 00:00:00+00:00,0,0,22,2
2025-01-09 00:00:00+00:00,0,0,1,1
2025-01-12 00:00:00+00:00,1,1,0,0
2025-01-13 00:00:00+00:00,0,0,20,4
2025-01-15 00:00:00+00:00,1,1,8,2
2025-01-16 00:00:00+00:00,72,8,171,3
2025-01-17 00:00:00+00:00,0,0,1,1
2025-01-21 00:00:00+00:00,0,0,1,1
2025-01-22 00:00:00+00:00,0,0,9,1
2025-01-23 00:00:00+00:00,1,1,8,1
2025-01-27 00:00:00+00:00,4,1,19,2
2025-01-29 00:00:00+00:00,0,0,6,1
2025-01-30 00:00:00+00:00,0,0,15,2
2025-01-31 00:00:00+00:00,1,1,0,0
2025-02-09 00:00:00+00:00,1,1,0,0
2025-02-10 00:00:00+00:00,1,1,0,0
2025-02-11 00:00:00+00:00,0,0,1,1
2025-02-15 00:00:00+00:00,18,7,14,9
2025-02-18 00:00:00+00:00,10,6,0,0
2025-02-19 00:00:00+00:00,2,1,25,4
2025-02-22 00:00:00+00:00,0,0,2,2
