time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-18 00:00:00+00:00,0,0,12,3
2024-11-19 00:00:00+00:00,0,0,17,4
2024-11-20 00:00:00+00:00,0,0,1,1
2024-11-21 00:00:00+00:00,0,0,1,1
2024-11-22 00:00:00+00:00,1,1,7,1
2024-11-25 00:00:00+00:00,0,0,4,1
2024-11-26 00:00:00+00:00,0,0,1,1
2024-11-28 00:00:00+00:00,1,1,0,0
2024-11-29 00:00:00+00:00,0,0,1,1
2024-11-30 00:00:00+00:00,0,0,16,1
2024-12-02 00:00:00+00:00,0,0,17,3
2024-12-03 00:00:00+00:00,0,0,14,3
2024-12-04 00:00:00+00:00,0,0,3,2
2024-12-05 00:00:00+00:00,1,1,4,2
2024-12-09 00:00:00+00:00,0,0,1,1
2024-12-10 00:00:00+00:00,0,0,6,2
2024-12-12 00:00:00+00:00,1,1,2,2
